File name,File size,Unique columns,Mean r^2 value,Median r^2 value,Mean MSE,Median MSE,Spearman coef rho,Spearman coef rho med,Spearman coef pval,Spearman coef pval med
CHEMBL249.csv,2370,2048,0.2831186207784021,0.2701065857777887,2.119999630891045,2.1584795108237538,0.726823483369261,0.7297924570939331,1.7766028269779812e-76,5.596616303422722e-80
CHEMBL1293313.csv,725,2048,0.34345441856462,0.3468963415466817,0.17397268775178626,0.17306064050151795,0.5428320056703235,0.5433303818152726,3.556631908290116e-12,1.6516969147468432e-12
CHEMBL338.csv,2786,2048,0.6458257621906538,0.6469993083648282,0.5732201998090976,0.5713208511252231,0.8065334252354048,0.8080537815921793,2.976335631598776e-123,7.079882052111868e-130
CHEMBL4896.csv,581,2048,0.04187101547845316,0.05732302722745197,0.12395553137613917,0.12195646615828235,0.16845501006564498,0.1500293787733493,0.09225376650115363,0.10640937092866291
CHEMBL3508.csv,504,2048,0.8029935058128761,0.8015806473977303,0.4788652221524095,0.48229946812298147,0.8866029843113095,0.8840357815447104,1.1860580038234042e-33,1.80431721790699e-34
CHEMBL4608.csv,659,2048,0.6543169457931244,0.6563239893346062,0.48003950158474307,0.47725238150585353,0.8092527788358368,0.8054429038123154,6.011269357445324e-30,2.5254503878984826e-31
CHEMBL283.csv,1966,2048,0.6478851659069123,0.643072934821312,0.539477679474427,0.546850533463498,0.7922078727821574,0.7903150698659908,3.515047209276987e-83,2.0319375366938305e-85
CHEMBL3892.csv,889,2048,0.6658795150353797,0.6634626668034229,0.3759826170242141,0.37870227344784707,0.7709240287906096,0.7717281703217082,9.206103616427768e-36,1.9597877846622714e-36
CHEMBL333.csv,3585,2048,0.7632828472712583,0.764151779382146,0.6377201571375981,0.635379238805701,0.8713983759428137,0.8708795838011472,9.420487901529091e-222,9.365987172925263e-223
CHEMBL5608.csv,743,2048,0.2772458081877746,0.30135613248226834,0.5824671328915282,0.5630366382309766,0.4372371502011423,0.46785846298821726,1.528119290397293e-06,1.7859236158972695e-09
CHEMBL339.csv,4313,2048,0.5352929111099877,0.5371781733602049,0.5613412710453437,0.559063975232365,0.7395518790892609,0.7392406330393956,2.498135162082687e-149,5.385597421803379e-150
CHEMBL4218.csv,539,2048,-0.20346608068802766,-0.16963627952345006,0.08701432276572112,0.08456832342691814,0.48838051209998723,0.4983983910619623,4.094900684349215e-07,4.041368922930624e-08
CHEMBL3286.csv,995,2048,0.6324180397741911,0.6386362337793852,0.4787158968103736,0.47061770744898956,0.7723701909361084,0.7679673972040568,2.3787301002003302e-39,5.624700558140726e-40
CHEMBL2094112.csv,547,2048,0.38322933149149685,0.39373546899262757,0.9425810250711759,0.9265249991267156,0.6407985065340943,0.6621421199767823,1.6043155392747732e-12,3.3579217669998405e-15
CHEMBL1889.csv,853,2048,0.5677238130702678,0.5593362083999143,0.7794204298396024,0.7945437945660387,0.7953800665878893,0.794491797591555,6.263989610485558e-37,1.8963226972262124e-38
CHEMBL5763.csv,841,2048,0.8232945868028023,0.820353732311995,0.3089929692543846,0.31413544533827,0.8932825714993919,0.8890667977769569,1.0173072696978776e-58,1.4777766565432078e-58
CHEMBL1821.csv,758,2048,0.5858892999436554,0.5896846679110437,0.6643343196765642,0.6582456260103676,0.7565377236469738,0.7652531962949519,9.064342140850999e-26,1.7094971963442496e-30
CHEMBL1957.csv,2138,2048,0.6691138696858274,0.6703315368491256,0.3457503549799518,0.344477987191196,0.7584969743925617,0.756820361027492,1.9579152644742767e-78,1.0880690141408449e-80
CHEMBL1835.csv,921,2048,0.5025600591559782,0.5070044731479866,0.6419357362451503,0.6362003138677327,0.7241648293617361,0.7256772127606244,1.17359419842994e-29,1.5490118815519817e-31
CHEMBL3138.csv,610,2048,0.584950087826406,0.599747693621609,0.5487572618413313,0.529192642262309,0.7573732407072777,0.7611194279309014,1.8156719605079833e-22,2.603884415111405e-24
CHEMBL3831.csv,713,2048,0.2862109143214494,0.2914955143195147,0.2546103441960133,0.252725314218052,0.3831742361028985,0.38515208663401584,5.720229257627524e-06,2.0353769791604726e-06
CHEMBL5313.csv,923,2048,-0.05174895239016477,-0.07115932745621056,0.5516494559102171,0.5618303292259103,0.1447146956372608,0.14540653908971013,0.06318273520230511,0.048285588801910494
CHEMBL4777.csv,995,2048,0.7479369833024875,0.7494146941449766,0.4732383875913057,0.47046404367688327,0.8331910625937506,0.8371213526565932,1.2003343382923673e-49,1.6467865396066685e-53
CHEMBL1991.csv,1263,2048,0.7217396503649873,0.7232722882182991,0.33149373855680503,0.32966789505263916,0.7912187209438101,0.7934871378250928,6.453770472487148e-54,4.635759887714956e-56
CHEMBL4175.csv,516,2048,0.0953884877376437,0.07177607787338947,0.12212506324800017,0.12531280407267523,0.22733758940581827,0.2774088513217182,0.05849080877775505,0.004357995943509823
CHEMBL340.csv,3612,2048,0.5657897490259434,0.5746142139469865,0.3580018472554026,0.35072616747656965,0.649465337797913,0.648936905340974,4.9366699042620246e-86,1.1836125323205146e-87
CHEMBL2094128.csv,1188,2048,0.6532401822463962,0.6527084560170815,0.5371922176056658,0.5380159554716477,0.7955841552936278,0.7968997802762666,1.1520698888270816e-51,1.4329109261859258e-53
CHEMBL5600.csv,817,2048,0.2713083172129335,0.30480299453557613,0.3314984170830841,0.3162609266938748,0.4529675601648909,0.45901244181542694,5.406120463939621e-09,6.341916577566541e-10
CHEMBL1907594.csv,503,2048,0.7936522617126112,0.8036188084200065,0.4375506185334889,0.4164170276705245,0.8714101970894607,0.8744597477430448,7.367686084664816e-32,7.196124045317216e-33
CHEMBL2039.csv,1163,2048,0.5773726207746744,0.5807914082302912,0.6803961997701415,0.6748922260406419,0.7462919055173248,0.7473428736285238,8.3744370599043e-40,6.788153766661154e-43
CHEMBL1833.csv,1236,2048,0.3976454728625319,0.3872528709288624,0.5906751326549612,0.6008662265195209,0.6232885983468399,0.6179866688685784,3.204622571712419e-26,1.628686801390579e-27
CHEMBL5650.csv,672,2048,0.08578472700953588,0.08095550306330446,0.25344592251671993,0.2547847178248412,0.25346793348323216,0.24446284628988815,0.006212395291521984,0.004270234325437229
CHEMBL4482.csv,1153,2048,0.5184613145112839,0.5201582657511377,0.20656438949035297,0.20583645275874948,0.5469522969391252,0.5511408980896908,1.4372184755411942e-17,9.380898024996668e-20
CHEMBL2002.csv,697,2048,0.49910334603854506,0.5484381921148195,0.5414620619448349,0.4881318045535643,0.7159818314614466,0.7438730224099902,2.2240029947489815e-17,6.385401527428113e-26
CHEMBL1741217.csv,882,2048,0.3376069715685268,0.3498834125578212,0.19869902374204765,0.1950164414458905,0.5724087679688038,0.5776361088615889,3.904319886956399e-15,3.859824211452026e-17
CHEMBL3766.csv,531,2048,0.7937147431221725,0.7909445170512232,0.385157023954699,0.39032933750399196,0.9143273981208713,0.9137694563036451,7.060682094222393e-42,7.080928077882847e-43
CHEMBL1926.csv,578,2048,0.7798426014979787,0.7734319136295539,0.3347582172858018,0.34450592713798706,0.8925469374476315,0.892749156086276,9.845602970361925e-41,2.805451146846513e-41
CHEMBL4036.csv,1278,2048,0.3715354614976504,0.36119634927063704,0.5932212204036673,0.6029805312278156,0.5317305921867849,0.5283673117563602,3.2600803304593828e-18,8.250912833512615e-20
CHEMBL5645.csv,523,2048,0.7935970174386914,0.7899652737826444,0.3918046719627506,0.3986986330584322,0.8787297420296845,0.8779169088018486,8.5756711033786e-34,1.0159780748448072e-34
CHEMBL2250.csv,712,2048,0.36259253696959687,0.3669295224745981,0.33683661729419473,0.3345447465341424,0.4950434266628346,0.49908074857581636,2.129165496886907e-09,2.2333419899691766e-10
CHEMBL1293246.csv,566,2048,0.18654002375156267,0.18754870033461113,0.11679741162169936,0.11665258481091167,0.3680907447772316,0.364242769499262,8.670598236482226e-05,6.778123230809288e-05
CHEMBL3891.csv,519,2048,0.7101191663713917,0.705696051222277,0.6638827787528931,0.6740125618750867,0.7909292432189163,0.7948142715623746,1.0234904199590865e-20,7.385976201652277e-24
CHEMBL4128.csv,795,2048,0.673288245497867,0.6830320495231434,0.5213997198440378,0.5058495701509658,0.828854516807168,0.8285097068286532,3.1382087170227968e-40,2.2192276831957767e-41
CHEMBL2534.csv,1038,2048,0.5320978013803932,0.5179139591171465,0.3158404536726821,0.3254147433179582,0.5588044462017093,0.548273116855388,1.0504375921399223e-17,1.0168891574217492e-17
CHEMBL2095162.csv,698,2048,0.1853066388523118,0.1876848669511465,0.1484180673662118,0.1479848098548362,0.41439038278789225,0.4175553160065172,9.286805936481477e-07,2.855639703351324e-07
CHEMBL211.csv,1889,2048,0.6293022646753584,0.631072021419566,0.7113359994007393,0.7079399935383496,0.769254414036869,0.7698467059774636,2.763363695113418e-74,2.500358166056973e-75
CHEMBL301.csv,2570,2048,0.6259437224274818,0.6246473387151158,0.5171964020553519,0.5189888729532339,0.7726283604012847,0.7720656875884275,4.462429209671004e-102,7.39581708866729e-103
CHEMBL3835.csv,1054,2048,0.424075162003129,0.42814590118912677,0.27721390959533837,0.27525451237847526,0.571681143184,0.563122827934463,5.181623406488976e-18,4.745154115829445e-19
CHEMBL3222.csv,957,2048,0.4595631285280263,0.46555643159503557,1.2526501408372597,1.2387585795333067,0.6558818071214458,0.6568464612953921,1.595858381223711e-22,4.413844475872549e-25
CHEMBL4203.csv,1112,2048,0.39465043502332675,0.38256367330775265,0.5836571807015495,0.5953108196481559,0.5938409366933441,0.5971411761472611,2.6152588019682964e-20,6.145508720519699e-23
CHEMBL2949.csv,1158,2048,0.4572134763191949,0.44884380731910545,0.596791157759116,0.6059935683472634,0.6179829794679217,0.612686438171595,1.0840365462949715e-24,2.6653718636122895e-25
CHEMBL5683.csv,667,2048,-0.036799731575703376,-0.03975129085346496,0.06593245290542774,0.06612014927257749,0.171356144037008,0.172314052513529,0.05327922466705433,0.046490792768145925
CHEMBL6166.csv,1041,2048,0.3963042072934462,0.4162390258772275,0.48977398089927326,0.47360100839517427,0.5590247981466715,0.5616716316127057,1.0752938525600266e-16,8.96069951340501e-19
CHEMBL2993.csv,646,2048,0.5423737291990831,0.5480063401789752,0.8640455445533538,0.8534105947440688,0.7234187263449277,0.7214098703032265,3.994651524176995e-22,3.6364624794019957e-22
