File name,File size,Unique columns,Mean r^2 value,Median r^2 value,Mean MSE,Median MSE,Spearman coef rho,Spearman coef rho med,Spearman coef pval,Spearman coef pval med
CHEMBL1804.csv,639,9527,0.7500734642092721,0.7531650823019432,0.46538108323372923,0.45962426924693023,0.8430043459005294,0.8435728475955494,1.3194946708164186e-34,7.973884198163603e-36
CHEMBL2854.csv,574,9461,0.6075799396172454,0.6067258976234211,0.6453654985355541,0.6467700374283345,0.7977884661159689,0.7962843863192015,3.7227559600028357e-25,2.010412958811586e-26
CHEMBL332.csv,3408,12808,0.6705281903136688,0.6717640453922055,0.46460675169349547,0.4628640028551367,0.8131646652922605,0.8130703556302679,1.0512904275798883e-160,6.406730782144709e-162
CHEMBL5251.csv,891,10319,0.42437094864326497,0.42424882193128244,0.4812322552696403,0.48133435455197754,0.4703389341640503,0.4773742063261811,1.9030065857753607e-10,1.4138818644426865e-11
CHEMBL5330.csv,946,10134,0.3186534342853179,0.32357240947235133,0.3395387894130149,0.337087492284356,0.555657921461165,0.5521344308647247,5.401121485401954e-16,1.487344763586726e-16
CHEMBL1293251.csv,1008,10073,-0.03206490933330928,-0.02766581275818547,0.36651183967794415,0.36494961140713605,0.1166673400337153,0.11962330807760316,0.1339838591146119,0.08994080173030612
CHEMBL3157.csv,526,8910,0.7777561342172117,0.7755879465195392,0.5200802386241842,0.5251540865399221,0.876035914238075,0.8781478947676294,1.3523401664460446e-33,4.4143924428342546e-35
CHEMBL257.csv,619,5996,0.7617231063365144,0.763376417623725,0.5842771734773643,0.580223099954256,0.8317710796124314,0.8307517715979282,1.0977867036310627e-31,7.892407217317536e-33
CHEMBL270.csv,2342,12258,0.6706520050737469,0.6700779249163986,0.7292404085010263,0.7305115334354616,0.8160635076490074,0.810329814793039,1.9951252170984603e-110,1.8076350227077396e-110
CHEMBL1844.csv,1604,10592,0.717138686337272,0.7232062993017982,0.49183925599052625,0.48128889048642837,0.8150751262296231,0.8136882880519644,1.4546949182837768e-76,3.824774988727918e-77
